id,name,sku
1,ALI GADIAKA,
2,AMAZON,141
3,AMERIHERB,125
4,AMPAK,143
5,BRAMBLEBERRY,126
6,BULK APOTHECARY,103
7,BULK NATURALS,137
8,CAKE SUPPLIES ON SALE,129
9,CAMDEN GRAY,142
10,CANDLE MAKERS STORE,121
11,CANDLESCIENCE,107
12,CANDLEWIC,117
13,CRYSTAL STONE ART,515
14,DBR EXPORTS INDIA,101
15,"DONGHAI COUNTY DIANYUE JEWELRY CO., LTD.",500
16,EDEN BOTANICALS,109
17,EPIC HERBS,140
18,ESSENTIAL NATURAL OILS,106
19,ESSENTIAL OILS,127
20,ESSENTIAL WHOLESALE AND LABS,111
21,ETSY,139
22,FLORAL ESSENTIAL OILS,131
23,FLORIHANA,135
24,FORTUNE AGATE,517
25,GEM PLAZA JEWELLERY MFG. Co. PVT. LTD.,
26,GREAT AMERICAN SPICE CO.,124
27,GUANGZHOU YUEXIU DISTRIC JIANGSHI GLASS PRODUCTS B. DEPARTMENT,519
28,INKASMINE S.A.C,512
29,IRFAN AGATE / TAIBA EXPORTS,516
30,JEWELS & GEMS GALLERY,518
31,"JIANGSU JIEJING CRYSTAL INDUSTRY DEVELOPMENT CO., LTD.",514
32,JUST SCENT,119
33,LIBERTY NATURAL PRODUCS,128
34,LONE STAR CANDLE SUPPLY,112
35,MIRACLE BOTANICALS,133
36,MOUNTAIN ROSE INC,123
37,NATURE IN BOTTLE,110
38,NATURE'S GARDEN,108
39,NATURE'S OIL,118
40,NEMAT,134
41,NEW DIRECTIONS AROMATICS,102
42,NUTIVA,132
43,OM IMPORTS,136
44,PAK TRIBAL GEMS AND MINERALS,525
45,PERFUMER'S APPRENTICE,115
46,RUSTIC ESCENTUALS,113
47,SALT WORKS,120
48,SAN FRANCISCO SALT CO.,130
49,SAVE ON SCENTS,116
50,SEEMA INTERNATIONAL,100
51,STAR CHILD,138
52,STARBORN CREATIONS INC.,511
53,THE FLAMING CANDLE,114
54,TOPSTONES,510
55,TRINITY,122
56,WELLINGTON,105
57,WHOLESALE BOTANICS,127
58,WHOLESALE SUPPLIES PLUS (CRAFTERS CHOICE) AKA WSP,104
59,WILLIAM'S GEMS,513
60,YIWU CITY DUBO HARDWARE FACTORY,520
61,BRAVO INTERNATIONAL,529
62,ARSAA GEMS & MINERALS,530
63,MG CRYSTALS,531
64,"DONGYANG FINAL GEM INDUSTRIAL & TRADE CO., LTD",532
65,"YIWU JINGTAO CRYSTAL CO., LTD.",533
66,"YIWU XIFENG JEWELRY CO., LTD.",534
67,"FOSHAN JIERUIMEI MAKEUP CO.,LTD",535
68,CRYSTAL EXPORT,536
69,"DEHUA BYRON ART CO., LTD.",537
70,MOHAN GEMS,538
71,SANCHI AND FILIAP DESIGNS,539
72,MAGICAL DELIGHTS,540
73,"GUANGZHOU XINGYI GLASS PRODUCTS CO., LTD",541
